Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/12/2024,05/13/2024,HIGHLEVEL INC.,Shopping,Sale,-10.00,
05/12/2024,05/13/2024,WAL-MART #5823,Groceries,Sale,-35.46,
05/09/2024,05/12/2024,THE GREEN ELEPHANT,Food & Drink,Sale,-20.46,
05/10/2024,05/12/2024,WAL-MART #5823,Groceries,Sale,-6.98,
05/10/2024,05/12/2024,BARLEY HOUSE - TX,Food & Drink,Sale,-23.05,
05/09/2024,05/10/2024,SQ *HERB'S HOUSE COFFEE +,Food & Drink,Sale,-14.01,
05/09/2024,05/10/2024,TST* LA LA LAND KIND CAFE,Food & Drink,Sale,-16.15,
05/09/2024,05/09/2024,Payment Thank You-Mobile,,Payment,500.00,
05/07/2024,05/09/2024,REGGIO'S CONNECT ORD,Food & Drink,Sale,-13.40,
05/08/2024,05/09/2024,WALGREENS #6660,Health & Wellness,Sale,-15.99,
05/06/2024,05/08/2024,LC-BOTANICS,Shopping,Sale,-12.55,
05/06/2024,05/08/2024,LC-BOTANICS,Shopping,Sale,-2.10,
05/06/2024,05/07/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-3.08,
05/05/2024,05/07/2024,LC-BOTANICS,Shopping,Sale,-14.69,
05/06/2024,05/07/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-3.52,
05/06/2024,05/07/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-14.63,
05/04/2024,05/06/2024,KING`S WOK,Food & Drink,Sale,-11.59,
05/06/2024,05/06/2024,HIGHLEVEL AGENCY SUB,Shopping,Sale,-198.99,
05/04/2024,05/06/2024,PEWAUKEE CITGO,Gas,Sale,-10.27,
05/04/2024,05/05/2024,WAL-MART #1678,Shopping,Sale,-12.97,
05/03/2024,05/05/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-7.54,
05/03/2024,05/05/2024,PARK AVENUE PIZZA COMPANY,Food & Drink,Sale,-15.13,
05/04/2024,05/05/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.04,
05/04/2024,05/05/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-14.70,
05/03/2024,05/05/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-21.00,
05/02/2024,05/03/2024,PANDA EXPRESS #2850,Food & Drink,Sale,-13.97,
04/30/2024,05/02/2024,CHICK-FIL-A #04291,Food & Drink,Sale,-10.54,
05/01/2024,05/02/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-15.22,
05/01/2024,05/02/2024,SIERRA #0067,Shopping,Sale,-17.84,
05/01/2024,05/02/2024,MARSHALLS #220,Shopping,Sale,-13.64,
05/01/2024,05/02/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-6.57,
05/01/2024,05/02/2024,WAL-MART #1678,Groceries,Sale,-4.08,
05/01/2024,05/02/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-5.91,
05/01/2024,05/02/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-147.19,
04/30/2024,05/01/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.52,
04/30/2024,05/01/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-14.70,
04/30/2024,05/01/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-14.70,
04/30/2024,05/01/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.04,
04/26/2024,04/28/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-11.94,
04/26/2024,04/28/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Return,10.38,
04/27/2024,04/28/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-8.15,
04/27/2024,04/28/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-18.28,
04/27/2024,04/28/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-94.50,
04/26/2024,04/28/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.56,
04/24/2024,04/25/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-12.06,
04/23/2024,04/24/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-15.06,
04/23/2024,04/23/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-50.93,
04/21/2024,04/23/2024,LC-BOTANICS,Shopping,Sale,-14.69,
04/19/2024,04/21/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-7.54,
04/20/2024,04/21/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-13.14,
04/20/2024,04/21/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.04,
04/19/2024,04/21/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-11.54,
04/19/2024,04/21/2024,UNITED      0164294143749,Travel,Sale,-35.00,
04/19/2024,04/21/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-6.92,
04/19/2024,04/19/2024,Payment Thank You-Mobile,,Payment,500.00,
04/18/2024,04/19/2024,Experian* Credit Report,Professional Services,Sale,-24.99,
04/17/2024,04/18/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-7.54,
04/15/2024,04/17/2024,KING`S WOK,Food & Drink,Sale,-11.76,
04/15/2024,04/17/2024,LC-BOTANICS,Shopping,Sale,-12.55,
04/14/2024,04/16/2024,PAR*SMOOTHIE KING SK1881,Food & Drink,Sale,-17.61,
04/15/2024,04/16/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-6.21,
04/13/2024,04/15/2024,TROPICAL SMOOTHIE CAFE WI,Food & Drink,Sale,-15.55,
04/12/2024,04/14/2024,WELLNESS BY VCT LLC,Shopping,Sale,-24.78,
04/10/2024,04/12/2024,UNITED      0162379595355,Travel,Sale,-11.50,
04/11/2024,04/12/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.56,
04/09/2024,04/10/2024,TROPICAL SMOOTHIE CAFE WI,Food & Drink,Sale,-16.78,
04/08/2024,04/09/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.56,
04/07/2024,04/08/2024,WAL-MART #1678,Groceries,Sale,-8.80,
04/06/2024,04/08/2024,CHICK-FIL-A #03601,Food & Drink,Sale,-14.66,
04/06/2024,04/07/2024,UNITED      0162378538726,Travel,Sale,-154.10,
04/06/2024,04/07/2024,HIGHLEVEL * TRIAL OVER,Shopping,Sale,-198.99,
04/04/2024,04/05/2024,HIGHLEVEL INC.,Shopping,Sale,-20.07,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,9.30,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,53.36,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,24.99,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,500.00,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,11.40,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,12.97,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,32.11,
04/01/2024,04/03/2024,KWIK TRIP #184,Gas,Sale,-32.11,
04/01/2024,04/02/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-53.36,
03/29/2024,03/31/2024,CHICK-FIL-A #03859,Food & Drink,Sale,-14.57,
03/28/2024,03/29/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-500.00,
03/21/2024,03/24/2024,UNIV OF WIPLATTEVILLE,Education,Sale,-400.00,
03/21/2024,03/24/2024,NBS*NBSUWP SERVICE FEE,Education,Sale,-11.40,
03/22/2024,03/22/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-44.50,
03/21/2024,03/21/2024,Payment Thank You-Mobile,,Payment,600.00,
03/18/2024,03/19/2024,Experian* Credit Report,Professional Services,Sale,-24.99,
03/06/2024,03/08/2024,FAMOUS FAMIGLIA MCO,Food & Drink,Sale,-12.97,
03/07/2024,03/07/2024,Payment Thank You-Mobile,,Payment,400.00,
03/05/2024,03/07/2024,GUSTOS CAFE TB LMMIA,Food & Drink,Sale,-9.30,
03/06/2024,03/07/2024,VIENA SNACK TC     QPS,Food & Drink,Sale,-5.89,
